source_id,Energy,Lz,Lperp
6044899150360248832,-218868.0,-187.0,129.0
5948251910804292352,-216279.0,-6.0,288.0
6032998178270152192,-212973.0,-233.0,81.0
4086552977173750400,-212927.0,-175.0,176.0
6719822856868045184,-212641.0,-215.0,336.0
4086422002190193152,-211967.0,26.0,118.0
6759583808655210496,-211608.0,64.0,127.0
6711784842738435840,-211333.0,-115.0,119.0
4121248925578717824,-210589.0,-253.0,104.0
6760071265962546560,-210503.0,-85.0,49.0
6006167620621187840,-209005.0,70.0,75.0
6758975675650708608,-208671.0,48.0,325.0
4038234633802472064,-207660.0,194.0,40.0
6725084982100435456,-207439.0,37.0,98.0
6729922867602011136,-207291.0,77.0,12.0
6767880070562060544,-206758.0,40.0,136.0
6662564998560858112,-206683.0,-113.0,189.0
5916845804257037440,-206550.0,-67.0,317.0
6722793702924695424,-206513.0,146.0,317.0
4072326980334049024,-206479.0,206.0,260.0
6758914274798865408,-206119.0,195.0,249.0
6724194343313039232,-205947.0,235.0,306.0
4035850372850586368,-205745.0,220.0,481.0
6709329697700577792,-205613.0,-21.0,325.0
5926038541778992384,-205174.0,59.0,50.0
4367275754785757568,-204725.0,-100.0,350.0
6647459976540389632,-204522.0,110.0,80.0
4045715569129792768,-204200.0,-464.0,391.0
4473535822671119232,-204063.0,-69.0,189.0
6723178119675820800,-203989.0,132.0,450.0
6000843373008994304,-203665.0,-61.0,296.0
4149048603981677184,-203290.0,169.0,507.0
4079756212940382592,-203264.0,-140.0,330.0
4126115093485131776,-203089.0,-181.0,351.0
6704592249987670144,-203037.0,146.0,186.0
6654795746320333696,-202943.0,-246.0,157.0
6871572881874948096,-202892.0,-323.0,167.0
4085208205730311040,-202617.0,-398.0,319.0
6867573202168268288,-202494.0,87.0,264.0
5830370176818067712,-202416.0,26.0,322.0
6046819005051607936,-202391.0,204.0,593.0
6031915640328245248,-202277.0,-143.0,304.0
6016745987629370624,-202124.0,184.0,84.0
6760657791007060608,-201910.0,279.0,516.0
4375115238332639104,-201856.0,36.0,111.0
6634427052898471552,-201786.0,-414.0,150.0
4122527318349970432,-201624.0,118.0,385.0
6098559410906328576,-201531.0,-190.0,81.0
6715396974654800384,-201270.0,-48.0,547.0
6726559530259348480,-200763.0,23.0,342.0
6680623480613788928,-200761.0,-145.0,99.0
6766875460530670464,-200690.0,154.0,123.0
6751486523990933632,-200643.0,-510.0,283.0
6723591158090006656,-200628.0,-529.0,435.0
6268780509713045376,-200610.0,-181.0,128.0
6308045272527786496,-200519.0,44.0,94.0
4341794435379779968,-200462.0,-149.0,268.0
6762182332595060736,-200402.0,-459.0,526.0
6748846974527544192,-200288.0,-298.0,269.0
5914070632596202368,-200027.0,6.0,350.0
6022784917824037248,-199907.0,312.0,194.0
6657858745197553536,-199862.0,-496.0,405.0
5910152114891717632,-199643.0,-12.0,286.0
4352849337595032320,-199519.0,103.0,225.0
6206925284067994880,-199515.0,-45.0,202.0
4085565516964457984,-199483.0,259.0,89.0
5911207439895145216,-199329.0,34.0,329.0
6703074988360308992,-199306.0,-156.0,613.0
4324392086884665728,-199171.0,164.0,149.0
5903193580699981184,-199014.0,-100.0,8.0
4109124477795335936,-198808.0,-236.0,370.0
6436523721632038656,-198673.0,26.0,154.0
4084507683692102016,-198576.0,-628.0,170.0
4381916194489268864,-198528.0,-172.0,534.0
4183302514292834816,-198495.0,155.0,263.0
6704992914600820480,-198434.0,-585.0,435.0
5811341925478455680,-198383.0,122.0,145.0
6743678582685131520,-198331.0,-265.0,70.0
4234577826741699840,-198236.0,208.0,144.0
6022987949522568704,-198001.0,-18.0,576.0
4324007326533528448,-197994.0,-209.0,106.0
6197253292596915456,-197887.0,-504.0,297.0
4485846057935339392,-197879.0,-93.0,290.0
6474303971952262656,-197857.0,15.0,249.0
6746638261826086272,-197846.0,-539.0,283.0
4124193112839543936,-197578.0,-89.0,260.0
4434428908488644352,-197566.0,65.0,361.0
6671515160649596160,-197318.0,-117.0,75.0
6793960074053983744,-197285.0,77.0,112.0
4038523423054729856,-197264.0,392.0,222.0
6760603949304010112,-197237.0,-107.0,35.0
6651415911997650176,-197168.0,-402.0,416.0
6711249036977623808,-197038.0,250.0,430.0
6036864061129243776,-196836.0,186.0,587.0
6439687669419102080,-196783.0,114.0,339.0
6845540947651882496,-196782.0,-372.0,228.0
6321852836470163072,-196752.0,-250.0,154.0
4329160737533076352,-196743.0,-196.0,161.0
5958869237433700608,-196721.0,-20.0,269.0
6765118818906694528,-196570.0,105.0,641.0
4216359709335601536,-196565.0,-57.0,152.0
4389869825386072832,-196345.0,-452.0,278.0
4521649558154980608,-196290.0,143.0,292.0
6666295778952463104,-196251.0,161.0,533.0
4341838587644090240,-196128.0,34.0,569.0
5995441953429309184,-195954.0,-364.0,571.0
6242022966539339136,-195948.0,170.0,23.0
6762862238791191808,-195913.0,-711.0,170.0
6248686007002331776,-195881.0,-257.0,363.0
4199919193014528896,-195858.0,51.0,684.0
5914418151292609408,-195703.0,-400.0,115.0
6001517923398637440,-195679.0,-462.0,436.0
4372303615301745024,-195672.0,-546.0,119.0
4071271968900857472,-195541.0,-250.0,74.0
4384000013838738944,-195513.0,21.0,281.0
4229169530899276160,-195482.0,-271.0,107.0
5809198496286319232,-195463.0,121.0,408.0
6032708590061032832,-195403.0,181.0,179.0
6673750914465028096,-195212.0,-520.0,301.0
6007827161632721280,-195028.0,238.0,171.0
6694135413367737600,-194997.0,40.0,39.0
6213677831651450880,-194820.0,41.0,335.0
4449901029956863104,-194815.0,-186.0,222.0
6657287858145497728,-194811.0,254.0,424.0
4349474489735691264,-194799.0,-544.0,328.0
5930524652301541120,-194661.0,-19.0,413.0
6662427628327213568,-194617.0,99.0,312.0
6226845411108749824,-194591.0,86.0,520.0
6431358319084000640,-194519.0,-152.0,107.0
5911200632364749696,-194447.0,-390.0,532.0
6639101592222218752,-194247.0,-102.0,433.0
6871093529163844992,-194104.0,278.0,624.0
6736651225951241856,-193982.0,354.0,178.0
4403909042680560000,-193976.0,-228.0,328.0
6868131754075703808,-193877.0,-481.0,327.0
6744717346294093952,-193869.0,-564.0,116.0
6039411663926381440,-193862.0,114.0,666.0
4379561835153884800,-193855.0,-546.0,460.0
4463800506198501760,-193637.0,-3.0,143.0
6234018693688951424,-193633.0,-570.0,272.0
4495444244690587904,-193430.0,-78.0,31.0
6662529023914887296,-193405.0,-44.0,170.0
6447348001288357504,-193191.0,200.0,487.0
5819640214619232384,-193145.0,295.0,623.0
4195772969016880384,-193095.0,-456.0,193.0
6682774017982313600,-193078.0,9.0,491.0
6665135721170434816,-192974.0,-3.0,382.0
4419118312148954240,-192905.0,8.0,87.0
6032973782846304640,-192894.0,-789.0,431.0
4430109477060209408,-192789.0,102.0,129.0
6313511352849694208,-192733.0,29.0,274.0
6882162072198793728,-192726.0,82.0,28.0
6728110872459961472,-192614.0,-435.0,451.0
6779283552328879872,-192497.0,-158.0,144.0
6723533532500534656,-192324.0,148.0,345.0
6117219944292292736,-192262.0,-5.0,189.0
4339866235575533312,-192215.0,-280.0,271.0
4444346709528867968,-192208.0,10.0,31.0
4353046150176077184,-192185.0,-37.0,219.0
4235629028577555712,-192162.0,-24.0,60.0
4556088083406590080,-192093.0,57.0,290.0
4441164757238770048,-191887.0,-554.0,343.0
4526848770680412288,-191830.0,168.0,476.0
6808646899403880832,-191704.0,12.0,309.0
4476204303032774144,-191633.0,109.0,573.0
6630949194544516736,-191575.0,-385.0,508.0
6431866362176387584,-191567.0,-211.0,117.0
6282562063328914048,-191486.0,-221.0,468.0
4328223575669282944,-191397.0,-203.0,53.0
4390902507321294848,-191384.0,211.0,433.0
6023650160440342144,-191277.0,-88.0,765.0
4496404668097055616,-191266.0,-88.0,19.0
4499105274811605120,-191176.0,-200.0,312.0
4486198039094967296,-191156.0,343.0,504.0
5810083117803121152,-191068.0,75.0,501.0
5908498926134126208,-191026.0,-53.0,292.0
4176666716801846656,-190926.0,-15.0,658.0
4233876647557908992,-190921.0,140.0,617.0
4325379895002459136,-190866.0,-647.0,213.0
6746575658382501504,-190848.0,24.0,727.0
4488803950372889984,-190710.0,-233.0,442.0
4127432480197037184,-190698.0,-708.0,150.0
6630848344409827840,-190680.0,240.0,31.0
1752256535472821504,-190668.0,-113.0,438.0
4044477832626699264,-190647.0,66.0,135.0
6321036891467501952,-190586.0,-156.0,369.0
6410169871020601344,-190568.0,-155.0,204.0
1189000883456888064,-190556.0,-167.0,322.0
6746793121167955072,-190556.0,-595.0,492.0
6456036410890774144,-190555.0,-360.0,359.0
6591567849126884480,-190533.0,133.0,171.0
6675506628376009344,-190509.0,113.0,442.0
6749735757879761280,-190508.0,-221.0,682.0
4371859137728475392,-190382.0,-545.0,154.0
4478571684709869568,-190345.0,200.0,345.0
6879601618858716160,-190325.0,-226.0,80.0
4141565224698753152,-190315.0,365.0,743.0
4415574994193987200,-190267.0,214.0,241.0
6470766018415294848,-190192.0,-139.0,666.0
2036756887155412096,-190044.0,207.0,316.0
5805770081583509632,-190036.0,-135.0,671.0
6731362540625965056,-190012.0,431.0,522.0
5801473430658153984,-189979.0,42.0,146.0
4545996422077523072,-189860.0,-188.0,467.0
4502881994174936192,-189788.0,67.0,511.0
5956362046015245056,-189674.0,-188.0,900.0
4199067002788153728,-189669.0,334.0,647.0
6895460974573984256,-189620.0,204.0,230.0
6445624035776098688,-189511.0,58.0,184.0
6016433176574203008,-189510.0,-651.0,304.0
6749539495054704000,-189437.0,297.0,226.0
6232042733848715520,-189377.0,78.0,493.0
6855014133680110720,-189366.0,75.0,124.0
5936569050023726080,-189361.0,-380.0,847.0
6083716622434953472,-189312.0,80.0,405.0
4231038052126859136,-189224.0,8.0,491.0
4038383789450231296,-189214.0,-728.0,153.0
4387019478928545664,-189187.0,-8.0,134.0
4328163583565971968,-189169.0,-310.0,673.0
6701724002113004928,-189112.0,-154.0,517.0
4218654664979447808,-189103.0,262.0,648.0
6580315790725919232,-189077.0,180.0,547.0
4327832557549669248,-188970.0,-116.0,825.0
6508871277499009664,-188897.0,24.0,197.0
6562247309988278144,-188856.0,13.0,330.0
6226962509096702080,-188820.0,-54.0,588.0
6226585956422527616,-188793.0,-100.0,526.0
4221171240940815872,-188775.0,350.0,702.0
6260651339214168704,-188760.0,-542.0,684.0
5969761759851585920,-188757.0,264.0,137.0
6749657142798141184,-188732.0,-551.0,106.0
6305049820600425216,-188524.0,-427.0,618.0
4076013200503759744,-188491.0,-77.0,723.0
6050337682766030848,-188433.0,31.0,663.0
4185262977898622464,-188340.0,330.0,108.0
6015366856456947328,-188243.0,481.0,805.0
4500686887929457408,-188138.0,314.0,715.0
4486659559099773440,-188101.0,-170.0,848.0
6088329623437100160,-187979.0,112.0,279.0
1154484945718096000,-187938.0,48.0,260.0
5799239497924973952,-187860.0,-632.0,250.0
6868127940145862656,-187817.0,-683.0,173.0
4233214294874757760,-187760.0,31.0,299.0
4248212801718361088,-187744.0,-246.0,380.0
6109302910814100224,-187682.0,-728.0,393.0
6910756005950942336,-187679.0,-517.0,148.0
5817997097577231616,-187676.0,-390.0,637.0
6828444229032457216,-187672.0,-337.0,455.0
4393307001811559808,-187650.0,-287.0,209.0
6342243554485811968,-187647.0,-119.0,351.0
6472080278404870912,-187632.0,-442.0,304.0
6237106637735058944,-187569.0,378.0,185.0
6084100592478780416,-187455.0,-269.0,244.0
6687396609680470528,-187370.0,209.0,336.0
6725990601731873920,-187357.0,522.0,437.0
6083716381917325056,-187193.0,-333.0,291.0
6164439776811114240,-187180.0,-516.0,328.0
4453598240883472896,-187114.0,-308.0,559.0
6083514724590238336,-187111.0,-350.0,400.0
6783265261888310528,-187078.0,-445.0,263.0
4498677221194304000,-187025.0,-826.0,153.0
6407958993655788416,-186986.0,-12.0,319.0
6904852521864130304,-186981.0,223.0,102.0
6188318558025695616,-186971.0,-30.0,491.0
6329409642448163968,-186964.0,59.0,471.0
6036160820366136192,-186961.0,336.0,728.0
6448600448111799552,-186938.0,-141.0,422.0
6451579570570457216,-186868.0,-427.0,536.0
5773302224768428544,-186683.0,-545.0,428.0
5335614752064948224,-186652.0,-49.0,125.0
4038678424247673216,-186556.0,454.0,663.0
6161283766122844928,-186537.0,207.0,199.0
4216270270937078912,-186531.0,11.0,52.0
6228527109841896576,-186487.0,-270.0,546.0
6904304037361308416,-186426.0,-411.0,783.0
1190987357371157376,-186365.0,-408.0,252.0
5774175786755181824,-186235.0,-691.0,247.0
6376462692804765056,-186217.0,-540.0,538.0
5903407676215988352,-186207.0,39.0,7.0
5781464896015968512,-186204.0,200.0,528.0
4387118194456379392,-186152.0,-542.0,544.0
4482950425347114240,-186102.0,424.0,204.0
4530573469402261888,-185989.0,-204.0,311.0
4356714327124981632,-185819.0,330.0,232.0
6083690096713720960,-185756.0,-435.0,154.0
6625008735075806976,-185745.0,123.0,90.0
5834468537710464640,-185739.0,-290.0,483.0
1157097900741574784,-185732.0,-26.0,618.0
4539143612786130048,-185658.0,-230.0,140.0
4501370818520926848,-185614.0,-506.0,621.0
6456057026733429504,-185610.0,-47.0,554.0
6492356127518044800,-185560.0,60.0,282.0
6773950920933073536,-185524.0,-54.0,427.0
6768459856787706496,-185478.0,11.0,23.0
1808133716412587520,-185463.0,125.0,744.0
6034367345124009856,-185437.0,399.0,68.0
4247034228334882048,-185422.0,-126.0,514.0
4048057911246163328,-185348.0,-628.0,694.0
4433326235764565888,-185283.0,-704.0,556.0
4085986453803255808,-185225.0,414.0,797.0
6629693071227303808,-185183.0,-275.0,314.0
4498165948285651968,-185177.0,-874.0,318.0
6083515583583724672,-185083.0,-519.0,180.0
6797833614862169216,-184947.0,229.0,774.0
6087791412495649152,-184922.0,-505.0,324.0
1317846466364172800,-184811.0,-202.0,55.0
5240452158111551232,-184701.0,-79.0,138.0
4551331596095756800,-184653.0,-533.0,409.0
6908309077183027200,-184596.0,-91.0,834.0
6415274972230783488,-184518.0,-141.0,57.0
4118514611958658176,-184455.0,-169.0,415.0
6159043992216766848,-184447.0,75.0,21.0
5906969681569245312,-184393.0,-200.0,88.0
6259143427730689664,-184362.0,-184.0,168.0
6086882425616430848,-184300.0,192.0,769.0
4376057691597197440,-184297.0,295.0,815.0
6901035464169978368,-184224.0,183.0,816.0
4523679290976302976,-184111.0,287.0,784.0
6135434660072485632,-184107.0,-202.0,738.0
6710159485375129728,-184072.0,49.0,822.0
6899765287720604800,-184060.0,-412.0,609.0
4503623717881339264,-184006.0,141.0,719.0
6771104972529395072,-183979.0,491.0,828.0
6904060873493001856,-183885.0,-578.0,729.0
6670302777280908032,-183842.0,-160.0,692.0
4427105439491336320,-183666.0,-253.0,729.0
6837013891378957184,-183654.0,-65.0,455.0
1749622758446583168,-183586.0,-91.0,776.0
6083752116046117632,-183512.0,-658.0,278.0
6621829054822242688,-183492.0,-97.0,389.0
5946271690346715904,-183315.0,435.0,394.0
6523414998837956736,-183213.0,-252.0,380.0
4397250400267498496,-183158.0,328.0,191.0
6403689658725674240,-183143.0,-507.0,640.0
6415548647545876864,-183109.0,-40.0,789.0
